design_id,family,notes,length_nm,n_periods,pitches_nm,widths_nm,min_feature_nm,min_gap_nm,lambda980_nm,q980,mode980_index,lambda451_nm,q451,mode451_index,dual_score
fine_primitive_P562_f0p72,primitive_1d_grating_fine,fine scan around high-Q 980 branch,562.0,1,562,404.64,157.36,157.36,980.1151563591376,3542134894.306067,1,453.2915957181224,1300.058737615254,2,10.066056538413562
fine_primitive_P556_f0p75,primitive_1d_grating_fine,fine scan around high-Q 980 branch,556.0,1,556,417,139.0,139.0,981.0990912051759,7010413823.772181,3,451.47166907605424,724.4471727655671,1,11.229824598884026
fine_primitive_P558_f0p74,primitive_1d_grating_fine,fine scan around high-Q 980 branch,558.0,1,558,412.92,145.07999999999998,145.07999999999998,980.9732810396644,5427701837.8224535,1,449.93086888708734,544.6553268298215,2,12.0712061703626
fine_primitive_P554_f0p76,primitive_1d_grating_fine,fine scan around high-Q 980 branch,554.0,1,554,421.04,132.95999999999998,132.95999999999998,981.0214759666696,8537747201.544399,3,452.94780130192703,933.8950776912071,2,12.10956088982927
fine_primitive_P550_f0p78,primitive_1d_grating_fine,fine scan around high-Q 980 branch,550.0,1,550,429,121.0,121.0,980.2887012456321,12047275019.410818,1,455.6603221688373,1307.469748748965,3,12.771998062994687
fine_primitive_P552_f0p76,primitive_1d_grating_fine,fine scan around high-Q 980 branch,552.0,1,552,419.52,132.48000000000002,132.48000000000002,977.9550557152727,9453471897.508945,3,451.73253957117436,911.8230885040903,1,12.98278580108461
fine_primitive_P554_f0p75,primitive_1d_grating_fine,fine scan around high-Q 980 branch,554.0,1,554,415.5,138.5,138.5,978.0367876632693,7177829168.170396,3,450.2655584387689,694.664066658245,1,13.293766897008084
fine_primitive_P560_f0p72,primitive_1d_grating_fine,fine scan around high-Q 980 branch,560.0,1,560,403.2,156.8,156.8,977.0893278772238,3900365812.328736,3,451.8632393135277,1298.2547723610553,2,14.231143848165322
fine_primitive_P556_f0p74,primitive_1d_grating_fine,fine scan around high-Q 980 branch,556.0,1,556,411.44,144.56,144.56,977.9269593700376,6016572947.828588,3,454.5689887578687,1799.2151751961603,5,14.694737596068604
fine_primitive_P548_f0p78,primitive_1d_grating_fine,fine scan around high-Q 980 branch,548.0,1,548,427.44,120.56,120.56,977.205358612719,13415344137.389809,1,454.42610377652693,1366.480105458933,3,16.472973298309135
fine_primitive_P560_f0p74,primitive_1d_grating_fine,fine scan around high-Q 980 branch,560.0,1,560,414.4,145.60000000000002,145.60000000000002,984.0177472959704,4944555208.014532,3,451.1222397553627,572.1247143067407,1,17.12777151303007
fine_primitive_P564_f0p72,primitive_1d_grating_fine,fine scan around high-Q 980 branch,564.0,1,564,406.08,157.92000000000002,157.92000000000002,983.1375894452472,3199405414.629841,3,454.7129904361332,1270.1705523837768,5,17.572721167257107
fine_primitive_P546_f0p80,primitive_1d_grating_fine,fine scan around high-Q 980 branch,546.0,1,546,436.8,109.19999999999999,109.19999999999999,978.7855593942363,15927006336.696348,1,449.6218365081532,55.170836337869865,1,18.340206433363853
fine_primitive_P558_f0p75,primitive_1d_grating_fine,fine scan around high-Q 980 branch,558.0,1,558,418.5,139.5,139.5,984.153271946982,6247780857.634561,5,452.6747035780947,750.3156791317499,2,18.48027138456945
fine_primitive_P564_f0p70,primitive_1d_grating_fine,fine scan around high-Q 980 branch,564.0,1,564,394.8,169.20000000000005,169.20000000000005,975.4466891646842,2381366085.776123,3,449.6386968842871,778.05171319021,2,18.903890933055173
fine_primitive_P550_f0p76,primitive_1d_grating_fine,fine scan around high-Q 980 branch,550.0,1,550,418,132.0,132.0,974.8891731114165,10326362141.393084,3,450.5132682311501,882.3290046959419,1,18.925863322128805
fine_primitive_P554_f0p74,primitive_1d_grating_fine,fine scan around high-Q 980 branch,554.0,1,554,409.96,144.04000000000002,144.04000000000002,974.8782735185566,6494797323.309079,7,453.11731872993056,1934.5708724491983,3,19.21443311440723
fine_primitive_P548_f0p80,primitive_1d_grating_fine,fine scan around high-Q 980 branch,548.0,1,548,438.4,109.59999999999997,109.59999999999997,981.8824819038845,15053401931.105228,1,450.02817311308456,55.28940838908652,1,19.266222923081337
fine_primitive_P556_f0p76,primitive_1d_grating_fine,fine scan around high-Q 980 branch,556.0,1,556,422.56,133.44,133.44,984.0892872754522,7838144014.45414,5,454.15917366643794,946.4038246434154,3,19.43344227049861
fine_primitive_P558_f0p72,primitive_1d_grating_fine,fine scan around high-Q 980 branch,558.0,1,558,401.76,156.24,156.24,974.0606312263322,4283873726.7653713,5,450.4299936892805,1272.1702233875974,2,20.03056295327155
fine_primitive_P552_f0p78,primitive_1d_grating_fine,fine scan around high-Q 980 branch,552.0,1,552,430.56,121.44,121.44,983.3709840759053,10932379960.969414,3,456.88913673950555,1224.8576706724962,3,20.278762386090314
fine_primitive_P552_f0p75,primitive_1d_grating_fine,fine scan around high-Q 980 branch,552.0,1,552,414,138.0,138.0,974.9782194009023,7840692578.726101,5,454.6112995856877,2057.204839021695,5,20.401750635037743
fine_primitive_P546_f0p78,primitive_1d_grating_fine,fine scan around high-Q 980 branch,546.0,1,546,425.88,120.12,120.12,974.1129812823522,15568638781.565825,1,453.19105532711234,1400.6147736229716,1,21.379817950587174
fine_primitive_P562_f0p74,primitive_1d_grating_fine,fine scan around high-Q 980 branch,562.0,1,562,415.88,146.12,146.12,987.0556544501067,4474599098.948973,5,452.3094882853788,597.6415717148965,2,24.315033988739977
